experiment_id,run_id,research_question,system_id,system,display_name,variant,backbone,seed,budget,task,split,dependencies,required_phase15_assets,checkpoint_role,expected_outputs,reusable_checkpoint_key,selection_metric,evaluation_protocol,approval_required,execution_status,approval_status,protocol_resolution_status,resolution_status
q1a_phobert_pragmatic_single_task_20260521,q1a_phobert_pragmatic_single_task_20260521,Q1a,phobert_pragmatic_single_task,phobert_pragmatic_single_task,PhoBERT pragmatic single-task bundle,single_task_bundle,phobert_base,20260521,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,phobert_pragmatic_single_task,predictions;metrics;history,phobert_pragmatic_single_task:20260521,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_phobert_pragmatic_single_task_20260522,q1a_phobert_pragmatic_single_task_20260522,Q1a,phobert_pragmatic_single_task,phobert_pragmatic_single_task,PhoBERT pragmatic single-task bundle,single_task_bundle,phobert_base,20260522,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,phobert_pragmatic_single_task,predictions;metrics;history,phobert_pragmatic_single_task:20260522,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_phobert_pragmatic_single_task_20260523,q1a_phobert_pragmatic_single_task_20260523,Q1a,phobert_pragmatic_single_task,phobert_pragmatic_single_task,PhoBERT pragmatic single-task bundle,single_task_bundle,phobert_base,20260523,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,phobert_pragmatic_single_task,predictions;metrics;history,phobert_pragmatic_single_task:20260523,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_phobert_pragmatic_finetune_20260521,q1a_phobert_pragmatic_finetune_20260521,Q1a,phobert_pragmatic_finetune,phobert_pragmatic_finetune,PhoBERT pragmatic fine-tune,pragmatic_finetune,phobert_base,20260521,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,phobert_pragmatic_finetune,predictions;metrics;history,phobert_pragmatic_finetune:20260521,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_phobert_pragmatic_finetune_20260522,q1a_phobert_pragmatic_finetune_20260522,Q1a,phobert_pragmatic_finetune,phobert_pragmatic_finetune,PhoBERT pragmatic fine-tune,pragmatic_finetune,phobert_base,20260522,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,phobert_pragmatic_finetune,predictions;metrics;history,phobert_pragmatic_finetune:20260522,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_phobert_pragmatic_finetune_20260523,q1a_phobert_pragmatic_finetune_20260523,Q1a,phobert_pragmatic_finetune,phobert_pragmatic_finetune,PhoBERT pragmatic fine-tune,pragmatic_finetune,phobert_base,20260523,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,phobert_pragmatic_finetune,predictions;metrics;history,phobert_pragmatic_finetune:20260523,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_xlmr_pragmatic_finetune_20260521,q1a_xlmr_pragmatic_finetune_20260521,Q1a,xlmr_pragmatic_finetune,xlmr_pragmatic_finetune,XLM-R pragmatic fine-tune,pragmatic_finetune,xlmr_large,20260521,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,xlmr_pragmatic_finetune,predictions;metrics;history,xlmr_pragmatic_finetune:20260521,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_xlmr_pragmatic_finetune_20260522,q1a_xlmr_pragmatic_finetune_20260522,Q1a,xlmr_pragmatic_finetune,xlmr_pragmatic_finetune,XLM-R pragmatic fine-tune,pragmatic_finetune,xlmr_large,20260522,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,xlmr_pragmatic_finetune,predictions;metrics;history,xlmr_pragmatic_finetune:20260522,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_xlmr_pragmatic_finetune_20260523,q1a_xlmr_pragmatic_finetune_20260523,Q1a,xlmr_pragmatic_finetune,xlmr_pragmatic_finetune,XLM-R pragmatic fine-tune,pragmatic_finetune,xlmr_large,20260523,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,xlmr_pragmatic_finetune,predictions;metrics;history,xlmr_pragmatic_finetune:20260523,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_sailor_pragmatic_sft_20260521,q1a_sailor_pragmatic_sft_20260521,Q1a,sailor_pragmatic_sft,sailor_pragmatic_sft,Sailor-7B pragmatic SFT,pragmatic_sft,sailor_7b,20260521,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,sailor_pragmatic_sft,predictions;metrics;history,sailor_pragmatic_sft:20260521,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
